id_venda,data_venda,produto,categoria,preco_unitario,quantidade,desconto_pct,forma_pagamento,estado,avaliacao_cliente
1094,2024-01-05,Fone de Ouvido,Acessórios,260.13,1,0.0,Pix,MG,3.0
1132,2024-05-28,Smartphone,Telefonia,2257.42,-1,0.2,Pix,SP,5.0
1185,2024-05-12,Smartphone,Telefonia,2013.07,1,0.05,Cartão de Débito,RS,
1401,2024-12-05,Tablet,Telefonia,1369.59,1,0.0,Cartão de Crédito,RS,3.0
1409,2024-08-01,Tablet,Telefonia,1326.98,1,0.0,Cartão de Crédito,pr,4.0
1259,2024-01-20,Smartphone,Telefonia,2094.5,1,0.0,Cartão de Débito,SP,5.0
1464,2024-01-19,Tablet,Telefonia,1105.77,1,0.0,Pix,RJ,4.0
1373,2024-03-24,Notebook,Informática,3066.68,1,0.05,Cartão de Crédito,RS,5.0
1002,2024-06-18,Fone de Ouvido,Acessórios,293.87,1,0.0,Cartão de Crédito,MG,4.0
1468,2024-06-30,Mouse,Acessórios,92.18,1,0.0,Cartão de Débito,DF,5.0
1146,2024-03-29,SMARTPHONE,Telefonia,1980.26,2,0.0,Pix,ce,3.0
1223,2024-01-12,TABLET,Telefonia,1485.34,1,0.0,Cartão de Crédito,SP,
1280,2024-10-10,Teclado,Acessórios,158.96,1,0.15,Cartão de Débito,DF,4.0
1032,2024-06-09,Monitor,Informática,951.11,3,0.1,Cartão de Crédito,MG,3.0
1390,2024-09-27,Notebook,Informática,3813.36,1,0.0,Cartão de Débito,mg,4.0
1429,2024-03-28,Monitor,Informática,912.27,1,0.0,Cartão de Crédito,RS,
1040,2024-04-26,Fone de Ouvido,Acessórios,6169.5,1,0.05,Cartão de Débito,SC,3.0
1363,2024-09-14,Fone de Ouvido,Acessórios,268.1,1,0.0,Pix,BA,5.0
1227,2024-04-26,MONITOR,Informática,921.34,1,0.0,Cartão de Crédito,RJ,3.0
1178,2024-10-19,Fone de Ouvido,Acessórios,242.28,2,0.05,Pix,RS,5.0
1212,2024-11-18,Fone de Ouvido,Acessórios,6183.75,3,0.0,Cartão de Débito,DF,4.0
1037,2024-07-08, mouse ,Acessórios,102.26,1,0.0,Cartão de Débito,BA,3.0
1310,2024-05-20,Fone de Ouvido,Acessórios,-207.81,1,0.0,Pix,BA,3.0
1589,2024-06-15, notebook ,Informática,3946.86,1,0.0,Cartão de Débito,MG,5.0
1450,2024-09-06,Mouse,Acessórios,96.47,1,0.0,Pix,DF,5.0
1521,2024-12-02,Mouse,Acessórios,81.12,1,0.05,Cartão de Crédito,MG,2.0
1343,2024-07-19,Fone de Ouvido,Acessórios,265.39,1,0.15,Pix,SP,5.0
1385,2024-04-25,Mouse,Acessórios,74.2,1,0.0,Cartão de Débito,RS,5.0
1189,2024-08-03,Tablet,Telefonia,1324.23,1,0.0,Cartão de Crédito,RJ,5.0
1398,2024-02-17,SMARTPHONE,Telefonia,1738.43,1,0.0,Cartão de Débito,RS,4.0
1091,2024-01-13, smartphone ,Telefonia,2270.21,1,0.0,Pix,PE,4.0
1054,2024-04-18,Monitor,Informática,1030.13,2,0.05,Cartão de Débito,PR,5.0
1123,2024-06-02,MOUSE,Acessórios,91.62,1,0.0,Pix,DF,4.0
1060,2024-11-07,Fone de Ouvido,Acessórios,266.64,1,0.0,Cartão de Crédito,SP,4.0
1415,2024-11-17,Notebook,Informática,,1,0.0,,,
1097,2024-07-16,Smartphone,Telefonia,2412.71,1,0.15,Cartão de Crédito,BA,4.0
1089,2024-10-01,Fone de Ouvido,Acessórios,263.54,2,0.0,Cartão de Débito,rs,4.0
